chapter,name,key,pageNumber,_id,description,serie,thumbnail,amount,userCreator,price,timeFirstPublished
2,To Kill a Mockingbird 2,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8727a131004cceb8b2,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 2,60cabc7f27a131004cceab41,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,6,60be2d9d6a90b5004d9d6a1b,3,null
6,To Kill a Mockingbird 6,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8727a131004cceb8b3,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 6,60cabc7f27a131004cceab41,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,5,60be2d9d6a90b5004d9d6a1b,69,Tue Jul 20 2021 05:00:52 GMT+0700 (Indochina Time)
10,To Kill a Mockingbird 10,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8727a131004cceb8b4,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 10,60cabc7f27a131004cceab41,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,3,60be2d9d6a90b5004d9d6a1b,31,null
14,To Kill a Mockingbird 14,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8b5,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 14,60cabc7f27a131004cceab41,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,7,60be2d9d6a90b5004d9d6a1b,8,null
18,To Kill a Mockingbird 18,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8b6,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 18,60cabc7f27a131004cceab41,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,9,60be2d9d6a90b5004d9d6a1b,76,Tue Jul 20 2021 08:00:50 GMT+0700 (Indochina Time)
22,To Kill a Mockingbird 22,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8b7,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 22,60cabc7f27a131004cceab41,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,6,60be2d9d6a90b5004d9d6a1b,57,Wed Jul 21 2021 13:01:18 GMT+0700 (Indochina Time)
26,To Kill a Mockingbird 26,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8b8,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 26,60cabc7f27a131004cceab41,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,2,60be2d9d6a90b5004d9d6a1b,62,null
30,To Kill a Mockingbird 30,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8b9,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 30,60cabc7f27a131004cceab41,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,2,60be2d9d6a90b5004d9d6a1b,65,null
34,To Kill a Mockingbird 34,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8ba,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 34,60cabc7f27a131004cceab41,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,1,60be2d9d6a90b5004d9d6a1b,41,Wed Jul 21 2021 23:45:23 GMT+0700 (Indochina Time)
38,To Kill a Mockingbird 38,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8bb,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 38,60cabc7f27a131004cceab41,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,2,60be2d9d6a90b5004d9d6a1b,18,null
42,To Kill a Mockingbird 42,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8bc,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 42,60cabc7f27a131004cceab42,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,1,60be2d9d6a90b5004d9d6a1b,80,null
46,To Kill a Mockingbird 46,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8bd,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 46,60cabc7f27a131004cceab42,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,1,60be2d9d6a90b5004d9d6a1b,5,Wed Jul 21 2021 07:42:33 GMT+0700 (Indochina Time)
50,To Kill a Mockingbird 50,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8be,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 50,60cabc7f27a131004cceab42,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,2,60be2d9d6a90b5004d9d6a1b,99,null
54,To Kill a Mockingbird 54,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8bf,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 54,60cabc7f27a131004cceab42,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,6,60be2d9d6a90b5004d9d6a1b,88,null
58,To Kill a Mockingbird 58,read/d3c14d48-c040-455e-b2df-63cf9c6f46c0_TEN0_sample_210224,6,60cabc8827a131004cceb8c0,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 58,60cabc7f27a131004cceab42,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/f7cee056-a816-439b-a37e-5cdbdebdd132-AriumWeb1x1.008.png,4,60be2d9d6a90b5004d9d6a1b,3,Mon Jul 19 2021 09:03:52 GMT+0700 (Indochina Time)
62,To Kill a Mockingbird 62,read/526e9d01-592f-44c9-9669-8b9d812e731a_TEN2_sample_210224,18,60cabc8827a131004cceb8c1,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 62,60cabc7f27a131004cceab42,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/a284ee5c-2323-4a50-86e9-54ff155d7d30-AriumWeb1x1.011.png,6,60be2d9d6a90b5004d9d6a1b,76,null
66,To Kill a Mockingbird 66,read/0401ed50-7505-4b79-9b41-527e0745a4c6_TEN1_sample_210224,21,60cabc8827a131004cceb8c2,This book cover is one of many given to Harper Lee's classic work To Kill a Mockingbird (1960). The novel won a Pulitzer Prize in 1961 and the next year was made into an Academy Award-winning film. for episode 66,60cabc7f27a131004cceab42,https://nftjapan.s3.ap-southeast-1.amazonaws.com/image/17a0393f-bbff-494a-bb7d-e32f36413ced-AriumWeb1x1.031.png,5,60be2d9d6a90b5004d9d6a1b,38,null
